BEGIN HEADER
PerkinElmer Inc.
ScanArrayCSVFileFormat,2.00
ScanArray Express,2.00
Number_of_Columns,62
END HEADER

BEGIN GENERAL INFO
DateTime,2006/06/28 16:20
GalFile,
Scanner,Model: Express Serial No.: 431878
User Name,Administrator
Computer Name,WINZOZZ_2000
Protocol,Easy Quant
Quantitation Method,Adaptive Circle
Quality Confidence Calculation,Footprint
User comments,
Image Origin,6349,9590
Temperature,0
Laser Powers,75,75
Laser On Time,0
PMT Voltages,75,75
END GENERAL INFO

BEGIN QUANTITATION PARAMETERS
Min Percentile,50
Max Percentile,200
END QUANTITATION PARAMETERS

BEGIN QUALITY MEASUREMENTS
Max Footprint,100
END QUALITY MEASUREMENTS

BEGIN ARRAY PATTERN INFO
Units,µm
Array Rows,2
Array Columns,2
Spot Rows,9
Spot Columns,20
Array Row Spacing,4500.000000
Array Column Spacing,4500.000000
Spot Row Spacing,180.000000
Spot Column Spacing,180.000000
Spot Diameter,90
Interstitial,0
Spots Per Array,180
Total Spots,720
END ARRAY PATTERN INFO

BEGIN NORMALIZATION INFO
Normalization Method,LOWESS
END NORMALIZATION INFO

BEGIN IMAGE INFO
ImageID,Channel,Image,Fluorophore,Barcode,Units,X Units Per Pixel,Y Units Per Pixel,X Offset,Y Offset,Status
-1,CH1,\\.PSF\Univer\MICROPAD\DIA-TOME\Microarray\CRIBI\CR_11\Cyanine 3.tif,Cyanine 3,,µm,5.000000,5.000000,0.000000,0.000000,Control Image
-1,CH2,\\.PSF\Univer\MICROPAD\DIA-TOME\Microarray\CRIBI\CR_11\Cyanine 5.tif,Cyanine 5,,µm,5.000000,5.000000,1.000000,0.000000,
END IMAGE INFO


BEGIN DATA
Index,Array Row,Array Column,Spot Row,Spot Column,Name,ID,X,Y,Diameter,F Pixels,B Pixels,Footprint,Flags,Ch1 Median,Ch1 Mean,Ch1 SD,Ch1 B Median,Ch1 B Mean,Ch1 B SD,Ch1 % > B + 1 SD,Ch1 % > B + 2 SD,Ch1 F % Sat.,Ch1 Median - B,Ch1 Mean - B,Ch1 SignalNoiseRatio,Ch2 Median,Ch2 Mean,Ch2 SD,Ch2 B Median,Ch2 B Mean,Ch2 B SD,Ch2 % > B + 1 SD,Ch2 % > B + 2 SD,Ch2 F % Sat.,Ch2 Median - B,Ch2 Mean - B,Ch2 SignalNoiseRatio,Ch2 Ratio of Medians,Ch2 Ratio of Means,Ch2 Median of Ratios,Ch2 Mean of Ratios,Ch2 Ratios SD,Ch2 Rgn Ratio,Ch2 Rgn R²,Ch2 Log Ratio,Sum of Medians,Sum of Means,Ch1 N Median,Ch1 N Mean,Ch1 N (Median-B),Ch1 N (Mean-B),Ch2 N Median,Ch2 N Mean,Ch2 N (Median-B),Ch2 N (Mean-B),Ch2 N Ratio of Medians,Ch2 N Ratio of Means,Ch2 N Median of Ratios,Ch2 N Mean of Ratios,Ch2 N Rgn Ratio,Ch2 N Log Ratio
1,1,1,1,1,,,7851,10977,70,124,648,4,3,554,624,347.94,134,227,260.14,72.6,43.5,0.0,420,490,2.13,65535,58006,13430.27,163,214,151.09,100.0,100.0,50.0,65372,57843,433.74,155.65,118.05,128.18,423.00,1777.60,20.33,0.28,7.28,65792,58333,554,624,420,490,596,690,455,552,1.08,0.82,0.89,4.04,0.18,0.12
2,1,1,1,2,,,8031,10977,70,124,648,4,3,701,742,469.39,143,240,282.33,69.4,47.6,0.0,558,599,2.48,65535,58003,12779.46,170,228,168.89,100.0,100.0,50.0,65365,57833,388.03,117.14,96.55,115.90,258.09,654.68,17.10,0.39,6.87,65923,58432,701,742,558,599,562,647,437,532,0.78,0.65,0.78,2.37,0.15,-0.35
3,1,1,1,3,,,8216,10980,65,108,648,4,3,593,672,432.99,126,218,203.46,77.8,55.6,0.0,467,546,2.91,65535,61025,8740.01,154,208,153.76,100.0,100.0,50.0,65381,60871,426.23,140.00,111.49,139.70,342.95,877.09,9.92,0.24,7.13,65848,61417,593,672,467,546,586,692,448,564,0.96,0.76,0.96,3.18,0.09,-0.06
4,1,1,1,4,,,8396,10980,65,108,648,4,3,435,583,432.90,122,204,188.00,65.7,45.4,0.0,313,461,2.31,65535,60333,10426.50,156,211,156.79,100.0,100.0,50.0,65379,60177,417.97,208.88,130.54,179.61,419.51,1330.94,10.15,0.18,7.71,65692,60638,435,583,313,461,635,725,476,577,1.52,0.95,1.31,4.02,0.10,0.60
5,1,1,1,5,,,8576,10985,65,108,648,4,3,453,579,389.60,147,228,187.39,68.5,43.5,0.0,306,432,2.42,65535,57497,12138.04,149,211,159.46,100.0,100.0,50.0,65386,57348,410.98,213.68,132.75,188.98,717.67,3279.21,18.01,0.33,7.74,65692,57780,453,579,306,432,628,705,477,562,1.56,0.97,1.38,7.04,0.17,0.64
6,1,1,1,6,,,8756,10985,65,108,648,4,3,457,546,400.97,140,229,194.35,63.0,40.7,0.0,317,406,2.35,65535,55892,14291.25,163,223,167.89,100.0,100.0,50.0,65372,55729,390.35,206.22,137.26,185.72,361.73,998.71,21.05,0.35,7.69,65689,56135,457,546,317,406,627,709,475,556,1.50,1.00,1.35,3.61,0.20,0.58
7,1,1,1,7,,,8936,10985,65,108,648,4,3,379,498,360.50,135,226,207.91,55.6,35.2,0.0,244,363,1.82,59484,53231,14404.51,156,214,148.54,100.0,100.0,25.0,59328,53075,400.45,243.15,146.21,178.63,289.25,312.41,26.22,0.43,7.93,59572,53438,379,498,244,363,615,713,456,547,1.87,1.12,1.37,2.98,0.27,0.90
8,1,1,1,8,,,9116,10985,65,108,648,4,3,386,499,358.12,133,227,209.13,60.2,34.3,0.0,253,366,1.85,63632,56666,13849.98,145,205,143.07,100.0,100.0,45.4,63487,56521,444.77,250.94,154.43,184.72,459.61,1046.37,20.14,0.27,7.97,63740,56887,386,499,253,366,642,740,480,574,1.90,1.17,1.40,4.67,0.20,0.92
9,1,1,1,9,,,9301,10985,75,154,648,9,3,594,681,433.89,138,228,197.94,74.7,54.5,0.0,456,543,3.00,65535,57878,15887.16,151,203,142.54,100.0,100.0,50.0,65384,57727,459.77,143.39,106.31,111.58,346.92,1071.55,14.13,0.15,7.16,65840,58270,594,681,456,543,586,666,450,541,0.99,0.73,0.77,3.25,0.13,-0.02
10,1,1,1,10,,,9481,10985,75,154,648,9,3,526,604,380.84,147,239,220.68,71.4,42.9,0.0,379,457,2.38,65535,57260,16563.81,180,239,186.20,100.0,100.0,50.0,65355,57080,351.96,172.44,124.90,147.20,405.27,1513.54,19.72,0.21,7.43,65734,57537,526,604,379,457,604,692,462,554,1.22,0.88,1.04,3.93,0.18,0.29
